filename,if_plate_id,position,sample,status,locations,antibody,ensembl_ids,gene_names
/archive/894/894_F11_2_,894,F11,2,35,Nucleoplasm,HPA055675,ENSG00000105248,YJU2
/archive/931/931_E6_1_,931,E6,1,35,Nucleoplasm,CAB009610,ENSG00000125835,SNRPB
/archive/931/931_E6_2_,931,E6,2,35,Nucleoplasm,CAB009610,ENSG00000125835,SNRPB
/archive/931/931_F8_3_,931,F8,3,35,Nucleoplasm,CAB009931,ENSG00000100603,SNW1
/archive/931/931_F8_4_,931,F8,4,35,Nucleoplasm,CAB009931,ENSG00000100603,SNW1
/archive/931/931_G8_3_,931,G8,3,35,Nucleoplasm,CAB009941,ENSG00000174231,PRPF8
/archive/931/931_G8_4_,931,G8,4,35,Nucleoplasm,CAB009941,ENSG00000174231,PRPF8
/archive/943/943_H11_5_,943,H11,5,35,Nucleoplasm,CAB015457,ENSG00000174231,PRPF8
/archive/943/943_H11_6_,943,H11,6,35,Nucleoplasm,CAB015457,ENSG00000174231,PRPF8
/archive/968/968_F9_1_,968,F9,1,35,"Nuclear bodies,Nucleoli,Nucleoplasm",HPA057114,ENSG00000092208,GEMIN2
/archive/968/968_F9_2_,968,F9,2,35,"Nuclear bodies,Nucleoli,Nucleoplasm",HPA057114,ENSG00000092208,GEMIN2
/archive/970/970_D9_1_,970,D9,1,35,Nucleoplasm,HPA056814,ENSG00000160799,CCDC12
/archive/970/970_D9_2_,970,D9,2,35,Nucleoplasm,HPA056814,ENSG00000160799,CCDC12
/archive/980/980_B10_1_,980,B10,1,35,Nuclear speckles,HPA057501,ENSG00000145833,DDX46
/archive/980/980_B10_2_,980,B10,2,35,Nuclear speckles,HPA057501,ENSG00000145833,DDX46
/archive/980/980_D6_1_,980,D6,1,35,Nuclear speckles,HPA057372,ENSG00000182872,RBM10
/archive/980/980_D6_2_,980,D6,2,35,Nuclear speckles,HPA057372,ENSG00000182872,RBM10
/archive/981/981_B8_1_,981,B8,1,35,Nucleoplasm,HPA053775,ENSG00000132773,TOE1
/archive/981/981_B8_4_,981,B8,4,35,Nucleoplasm,HPA053775,ENSG00000132773,TOE1
/archive/995/995_D9_1_,995,D9,1,35,Nucleoplasm,HPA058763,ENSG00000184281,TSSC4
/archive/995/995_D9_2_,995,D9,2,35,Nucleoplasm,HPA058763,ENSG00000184281,TSSC4
/archive/1003/1003_B4_1_,1003,B4,1,35,Nucleoplasm,HPA046620,ENSG00000168438,CDC40
/archive/1003/1003_B4_2_,1003,B4,2,35,Nucleoplasm,HPA046620,ENSG00000168438,CDC40
/archive/1006/1006_C11_1_,1006,C11,1,35,Vesicles,HPA059818,ENSG00000167220,HDHD2
/archive/1006/1006_C11_3_,1006,C11,3,35,Vesicles,HPA059818,ENSG00000167220,HDHD2
/archive/1016/1016_C4_1_,1016,C4,1,35,"Mitochondria,Nucleoplasm",HPA052833,ENSG00000248485,PCP4L1
/archive/1016/1016_C4_2_,1016,C4,2,35,"Mitochondria,Nucleoplasm",HPA052833,ENSG00000248485,PCP4L1
/archive/1038/1038_D9_1_,1038,D9,1,35,Nucleoplasm,HPA050311,ENSG00000204186,ZDBF2
/archive/1038/1038_D9_2_,1038,D9,2,35,Nucleoplasm,HPA050311,ENSG00000204186,ZDBF2
/archive/1055/1055_D2_2_,1055,D2,2,35,"Focal adhesion sites,Vesicles",HPA050061,ENSG00000116525,TRIM62
/archive/1055/1055_D2_4_,1055,D2,4,35,"Focal adhesion sites,Vesicles",HPA050061,ENSG00000116525,TRIM62
/archive/1076/1076_D10_2_,1076,D10,2,35,Nucleoli,HPA057999,ENSG00000170364,SETMAR
/archive/1076/1076_D10_3_,1076,D10,3,35,Nucleoli,HPA057999,ENSG00000170364,SETMAR
/archive/1101/1101_A3_1_,1101,A3,1,35,Mitochondria,HPA039620,ENSG00000110074,FOXRED1
/archive/1101/1101_A3_2_,1101,A3,2,35,Mitochondria,HPA039620,ENSG00000110074,FOXRED1
/archive/1101/1101_E4_2_,1101,E4,2,35,"Cytosol,Nucleoplasm",HPA027906,ENSG00000132792,CTNNBL1
/archive/1101/1101_E4_4_,1101,E4,4,35,"Cytosol,Nucleoplasm",HPA027906,ENSG00000132792,CTNNBL1
